Station,Year,Month,High temp,Low temp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Barisal,2000,5,33.1,24.3,0,35,54,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3,0,0,5,2,0,0,1,17,82,6,38
Barisal,2000,6,31.9,25,2,0,0,0,3,1,5,8,10,12,27,6,16,0,0,8,0,0,15,25,17,6,67,4,9,36,0,4,4,1,
Barisal,2000,7,31.5,25.2,2,0,0,0,0,0,0,2,53,11,1,9,23,17,7,0,6,34,67,44,15,4,27,4,14,5,0,7,4,0,33
Barisal,2000,8,31.8,25.7,1,24,35,0,5,0,0,0,0,1,8,18,3,36,3,18,0,4,1,1,3,5,0,1,0,0,0,0,3,12,21
Barisal,2000,9,31.9,24.8,74,8,7,0,25,2,0,45,1,0,0,0,0,0,8,0,0,9,31,3,18,3,0,0,10,1,0,0,0,0,
Barisal,2000,10,31.6,24.1,13,6,1,15,0,0,2,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,47,70,8,0,0
Barisal,2000,11,30.2,19.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,
Barisal,2000,12,27.3,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barisal,2001,1,25.7,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barisal,2001,2,29.5,14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,10,0,,,
Barisal,2001,3,33.1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
Barisal,2001,4,34.6,23.6,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Barisal,2001,5,32.8,23.7,15,0,0,27,1,5,0,17,44,15,47,73,0,0,0,0,0,0,0,0,0,0,1,27,0,0,9,0,0,1,0
Barisal,2001,6,30.6,25,1,2,1,14,0,34,59,7,25,32,0,0,2,52,87,22,50,50,33,67,2,8,6,1,7,1,38,9,10,21,
Barisal,2001,7,31.3,25.3,28,39,18,0,0,2,2,0,0,12,64,22,23,5,5,4,5,5,3,9,11,5,9,4,7,36,13,0,123,100,2
Barisal,2001,8,32.2,26,29,5,0,0,11,26,28,1,6,0,0,0,0,0,29,4,2,0,0,2,0,0,4,3,2,1,5,1,0,12,20
Barisal,2001,9,31.8,25.2,5,0,6,0,0,0,14,5,1,2,56,6,0,1,0,0,2,19,18,5,0,0,0,2,3,2,0,0,0,2,
Barisal,2001,10,31.9,24,18,7,22,3,52,0,0,0,0,16,1,42,0,1,51,0,0,1,5,0,0,0,0,0,0,0,0,1,3,7,75
Barisal,2001,11,29.7,20.5,8,0,0,0,0,0,0,0,0,0,10,43,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barisal,2001,12,27,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barisal,2002,1,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,7,0
Barisal,2002,2,29.4,14.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Barisal,2002,3,32.9,19.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
Barisal,2002,4,32.2,22.8,1,6,12,23,0,0,0,0,4,0,32,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,10,0,1,
