Station,Year,Month,High temp,Low temp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Month_Total
Comilla,1995,5,32.9,24.7,0,0,0,0,0,19,0,0,0,0,0,2,0,0,0,88,104,102,0,0,0,2,1,0,0,0,0,0,0,0,0,318
Comilla,1995,6,31.9,24.7,0,0,0,0,0,4,0,23,0,15,3,5,55,27,0,0,1,53,106,9,8,1,5,7,3,3,0,0,0,1,,329
Comilla,1995,7,30.8,25.6,0,19,3,18,131,170,0,0,0,8,0,0,27,2,1,10,17,11,0,45,1,2,28,15,4,0,7,4,0,4,2,529
Comilla,1995,8,32,25.8,0,4,2,25,23,7,13,12,1,0,0,5,121,44,0,0,4,8,46,2,7,0,0,0,0,12,21,6,35,54,0,452
Comilla,1995,9,31.8,25.5,2,5,8,10,3,8,2,0,0,1,0,14,10,0,0,0,0,18,2,0,0,0,2,0,19,15,3,2,0,0,,124
Comilla,1995,10,32.2,23.9,8,0,0,10,0,20,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,48
Comilla,1995,11,28.8,19.9,0,0,0,0,0,0,0,0,2,65,44,0,0,0,0,0,0,0,4,3,0,0,0,0,9,20,0,0,0,0,,147
Comilla,1995,12,26.8,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cox's Bazar,1995,1,27,15.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cox's Bazar,1995,2,28.4,17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,,,,3
Cox's Bazar,1995,3,32.5,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,8
Cox's Bazar,1995,4,33.3,24.7,0,0,0,0,0,0,0,20,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,24
Cox's Bazar,1995,5,33.2,26.9,0,0,0,0,0,0,0,0,0,0,0,19,1,1,31,36,206,27,0,0,0,80,0,0,0,0,0,0,0,0,0,401
Cox's Bazar,1995,6,31.1,25.7,0,39,2,63,0,0,0,6,0,1,40,37,40,15,4,0,4,41,6,5,99,30,16,24,59,6,5,8,13,2,,565
Cox's Bazar,1995,7,30.3,25.3,28,68,85,62,19,0,3,0,0,1,5,14,8,11,40,84,109,8,0,3,23,98,6,42,4,2,10,13,14,3,214,977
Cox's Bazar,1995,8,30.9,25.7,9,22,67,24,0,2,2,20,21,1,0,34,10,73,10,1,1,39,10,38,102,2,0,2,68,0,0,0,1,0,0,559
Cox's Bazar,1995,9,30.8,25.4,5,70,50,60,27,43,0,0,0,80,9,0,0,0,7,0,7,3,0,0,0,0,49,0,0,20,10,0,23,0,,463
Cox's Bazar,1995,10,32.5,25.2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,2,10,9,0,6,0,0,0,0,0,0,0,0,0,46
Cox's Bazar,1995,11,28.7,22.6,9,7,23,2,0,1,0,0,0,10,138,74,0,0,0,0,0,0,25,59,2,0,0,1,32,26,0,0,0,0,,409
Cox's Bazar,1995,12,27.8,16.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,1995,1,25.4,11.3,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Dhaka,1995,2,28,15.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,15,0,0,0,0,,,,31
